,context
10,"Môn học Giới thiệu ngành Khoa học Dữ liệu mang mã số DS005 trình bày chuyên sâu về:
- Ý nghĩa của Khoa học Dữ liệu (KHDL) đối với các doanh nghiệp và tổ chức hiện đại.
- Điểm khác biệt giữa KHDL và các chuyên ngành khác, cùng với ứng dụng của KHDL trong thực tế và tầm ảnh hưởng của nó.
- Các vị trí nghề nghiệp và cơ hội việc làm trong lĩnh vực KHDL.
- Định hướng phát triển của KHDL trong tương lai."
11,"Môn học mang tên Lý Luận Kinh Tế Chính Trị Má́c - Lênin, với mã là SS008. Tổng quan chung về nội dung môn học, sinh viên sẽ được làm quen và nắm vững những nguyên lý cơ bản của Lý Luận Kinh Tế Chính Trị Má́c - Lênin."
12,"Môn Nhập môn quản trị chuỗi cung ứng mang mã môn EC202, cung cấp kiến thức toàn diện về quản trị Logistics, tạo nền tảng vững chắc cho việc quản trị chuỗi cung ứng hiệu quả. Ngoài ra, môn học còn giới thiệu về các hệ thống ERP, là công cụ hỗ trợ đắc lực cho quá trình hoạch định, tổ chức, thực hiện và kiểm soát chuỗi cung ứng trong doanh nghiệp."
13,"**Chú trọng vào những chủ đề then chốt, Môn Công nghệ Tường lửa và Bảo vệ Mạng Ngoài vi (NT311) chuyên sâu về:** 
- Khái quát về Kiến trúc mạng an toàn
- Nhu cầu cấp thiết của doanh nghiệp về bảo mật thông tin
- Công nghệ Tường lửa và Mạng ngoài vi
- Hệ thống lọc gói tin và Máy chủ Proxy
- Mô hình hệ thống thực tế và giả định trong bảo mật mạng"
14,"Thông qua môn Chuyên đề M-commerce được mã hóa SE348, sinh viên sẽ được tiếp cận với những hoạt động sơ khai của thương mại di động (M-commerce). Nội dung môn học giúp sinh viên trang bị các kỹ năng thiết thực với kinh nghiệm thực hành ứng dụng trên các thiết bị di động không dây. Ngoài ra, môn học đào sâu nghiên cứu về công nghệ di động và ứng dụng vào lĩnh vực M-commerce, phân tích các lợi ích, ưu điểm, nhược điểm và cách thức áp dụng của thương mại di động. Bên cạnh đó, sinh viên cũng được hướng dẫn tìm hiểu sự khác biệt giữa thương mại di động và thương mại điện tử (E-commerce)."
15,"Môn học Đường lối cách mạng của Đảng Cộng sản Việt Nam có ký hiệu là SS002 và bao gồm nội dung chính là cung cấp kiến thức cơ bản và toàn diện cho sinh viên về quá trình thành lập và hoạt động của Đảng Cộng sản Việt Nam, đặc biệt là đường lối đổi mới hiện nay."
16,"Môn học CE408 - Đồ án chuyên ngành Thiết kế vi mạch và phần cứng dành cho sinh viên học chuyên đề tốt nghiệp. Đồ án này giúp sinh viên nắm bắt kiến thức tổng hợp hoặc chuyên ngành thiết kế vi mạch và phần cứng, ngành Kỹ thuật máy tính. Ngoài ra, sinh viên cũng phát triển kỹ năng tìm hiểu, nghiên cứu và giải quyết bài toán trong lĩnh vực thiết kế vi mạch, ngành KTMT, cũng như kỹ năng thuyết trình, giao tiếp và làm việc nhóm. Môn học này cũng khuyến khích thái độ làm việc tích cực trong ngành KTMT."
17,"Môn chuyên đề các quy trình phát triển phần mềm tiên tiến (SE354) tập trung trang bị cho sinh viên những kiến thức sâu rộng về các quy trình thực hiện phần mềm hiện đại. Nội dung bao gồm:

- Các nguyên lý và phương pháp trong xây dựng phần mềm, quản lý dự án và tổ chức phần mềm.
- Các công cụ và môi trường hỗ trợ quá trình phát triển và triển khai phần mềm.
- Các lý thuyết nền tảng về kiến trúc phần mềm, từ truyền thống đến tiên tiến.
- Hướng dẫn sinh viên xây dựng phần mềm theo phương pháp luận hệ thống, khoa học và tuân thủ các quy trình phát triển phần mềm đương đại."
18,"Môn học An ninh nhân sự, định danh và chứng thực có mã môn học là NT211. Tóm tắt nội dung môn học như sau: Môn học đề cập tới những khái niệm căn bản về định danh, xác thực và ứng dụng của chúng trong quản lý truy cập. Các công nghệ hiện đại trong định danh và xác thực được đề cập trong lý thuyết cũng như qua các bài thực hành dưới dạng các trường hợp sử dụng thực (use case).Môn học trang bị cho sinh viên ngành an ninh thông tin:- Khái niệm nền tảng về an ninh liên quan tới con người,- Kiến thức về định danh cùng các công nghệ định danh hiện đại- Kiến thức về xác thực và những công nghệ liên quan đến xác thực- Ứng dụng định danh và xác thực trong hệ thống CNTTĐối với hệ Cử nhân tài năng:- Trình bày chuyên sâu hơn các nội dung Sinh trắc và các phương pháp chính; Quản lý tài khoản với Token; Quản lý tài khoản liên hợp;Tấn công thẻ thông minh.- Bổ sung các bài tập nâng cao ở các nội dung trình bày chuyên sâu trên và các nội dung Bẻ mật khẩu phức tạp; Thiết kế, xây dựng và triển khai hệ thống cấp chứng chỉ số ở quy mô lớn.- Sinh viên thực hiện seminar chuyên đề theo định hướng của chương trình tài năng, trong đó sinh viên được chọn đề tài, tự tìm tài liệu và thực hiện báo cáo theo yêu cầu của giảng viên."
19,"Môn học Chuyên đề E-Learning, được mã hóa là SE350, mang đến cho sinh viên cái nhìn toàn diện về lĩnh vực học tập trực tuyến. Môn học trình bày các khái niệm cơ bản của E-Learning, bao gồm mô hình và công cụ sử dụng trong lĩnh vực này. Sinh viên sẽ được hướng dẫn thiết kế và triển khai các hệ thống E-Learning hiệu quả. Ngoài ra, vấn đề bản quyền trí tuệ cũng được đề cập trong nội dung môn học."
20,"Môn học CS221 về Xử lý ngôn ngữ tự nhiên nhằm cung cấp cho sinh viên những kiến thức cơ bản về chuyên ngành này, bao gồm văn phạm phi ngữ cảnh CFG, văn phạm DCG, cách cài đặt và giải thích cơ chế xử lý văn phạm DCG trên Prolog, và FSA. Với những kiến thức này, sinh viên có thể tiếp tục học môn chuyên ngành tự chọn ""Xử lý ngôn ngữ tự nhiên nâng cao""."
21,"Môn học CS112 là môn học về Phân tích và thiết kế thuật toán. Nội dung môn học tập trung vào việc thiết kế thuật toán và đánh giá độ phức tạp của chúng. Môn học bao gồm các phần như sau: Tổng quan về thuật toán và độ phức tạp của thuật toán, giới thiệu về cơ sở toán học để đánh giá độ phức tạp của thuật toán và sử dụng kiến thức toán sơ cấp để đánh giá thuật toán, sử dụng hàm sinh và định lý Master để đánh giá độ phức tạp của các thuật toán, nghiên cứu về nhóm hoán vị và ứng dụng của chúng, và cuối cùng là trình bày một số vấn đề mở rộng và nâng cao."
22,"Môn Hệ truyền thông dữ liệu có ký hiệu là MSIS4523. Về nội dung, môn học này sẽ đề cập đến các loại mạng và giao thức mạng được ứng dụng trong việc truyền tải thông tin đa dạng ngày nay, bao gồm giọng nói, hình ảnh và dữ liệu thương mại. Bên cạnh đó, học viên sẽ được trang bị các thuật ngữ mạng và hiểu biết về cách vận hành của các thành phần trong hệ thống viễn thông."
23,"Môn học CS326 là môn học về Các kĩ thuật trong xử lý ngôn ngữ tự nhiên. Nội dung môn học tập trung vào việc giới thiệu các phương pháp xử lý ngữ nghĩa hình thức câu và văn bản trên máy tính. Ngoài ra, môn học cũng đưa ra một số công cụ phổ biến thường được sử dụng trong xử lý ngôn ngữ tự nhiên."
24,"Môn Thống kê và xác suất chuyên sâu với mã môn học DS101 cung cấp cho sinh viên nền tảng kiến thức chuyên sâu về xác suất và thống kê toán học. Môn học tập trung vào việc trang bị cho sinh viên các nguyên lý thống kê và các định đề xác suất, hỗ trợ họ trong việc giải quyết các bài toán thực tế liên quan đến phân tích và dự báo các đại lượng và quá trình ngẫu nhiên."
25,"Bộ môn Phân tích và Trực quan dữ liệu được giảng dạy với mã môn DS105. Mục đích của bộ môn này là cung cấp cho sinh viên những hiểu biết cơ bản về quy trình thu thập và xử lý dữ liệu; cũng như các kỹ thuật và công cụ phân tích, trực quan hóa dữ liệu."
26,Cử nhân ngành Mạng máy tính và Truyền thông dữ liệu (Áp dụng từ khóa 18 - 2023) - Hình thức đào tạo: Chính quy tập trung. - Số tín chỉ đào tạo: 130. Thời gian đào tạo: 4 năm
27,"Môn học Thực tập doanh nghiệp (NT215) là môn học thực hành cuối khóa nhằm giúp sinh viên tiếp cận thực tế nghề nghiệp. Trong quá trình thực tập tại các doanh nghiệp hoặc đơn vị sự nghiệp, sinh viên sẽ trải nghiệm môi trường làm việc, tiếp cận các công việc cụ thể, tích lũy kinh nghiệm thực tế và xử lý các tình huống phát sinh liên quan đến chuyên ngành đã chọn."
28,"Môn Các giải thuật khai phá dữ liệu lớn, ký hiệu là DS301, trình bày cơ bản về khái niệm, thuật toán dùng trong khai phá dữ liệu lớn, khả năng phân tích và thiết kế các ứng dụng khai phá dữ liệu lớn vào quản lý, và trang bị năng lực phát triển thuật toán khai phá dữ liệu lớn dựa trên kỹ thuật song song và phân phối."
29,"NT310 - Môn học Pháp chứng mạng di động chuyên sâu trong các kỹ thuật pháp chứng di động cơ bản, cung cấp tổng quan về các loại pháp chứng di động, công nghệ cần dùng, bằng chứng điện tử và phương thức thu thập. Môn học trang bị cho sinh viên phương pháp tiếp cận hệ thống trong quá trình điều tra pháp chứng di động (bao gồm cả điều tra tư pháp và điều tra trong doanh nghiệp), đồng thời hướng dẫn về yêu cầu của phòng thí nghiệm pháp chứng di động, bao gồm cả phần cứng, phần mềm và thiết bị phục hồi dữ liệu cần thiết để thực hiện công tác pháp chứng số trong phòng thí nghiệm. Thông qua lý thuyết và thực hành, sinh viên sẽ có khả năng thu thập chứng cứ từ điện thoại di động và hiện trường bằng cách sử dụng các công cụ thu thập dữ liệu."
30,"SE221 là môn Lập trình game nâng cao tập trung trang bị cho sinh viên kiến thức và kỹ năng liên quan đến:

* Các nguyên lý cơ bản về lập trình game trực tuyến, bao gồm kiến trúc game ngang hàng (peer-to-peer), kiến trúc máy khách/máy chủ (client/server)
* Các phương pháp xử lý vấn đề phát sinh trong môi trường mạng, như độ trễ (lag) và mất gói tin
* Qua khóa học, sinh viên sẽ có khả năng tự xây dựng các trò chơi có sự tương tác giữa nhiều người chơi qua mạng."
31,"Môn học Khóa luận tốt nghiệp có mã là SE505. Về nội dung học phần, để tốt nghiệp, sinh viên có hai lựa chọn: hoàn thành khóa luận tốt nghiệp hoặc thi 3 học phần chuyên đề tốt nghiệp. Với lựa chọn khóa luận tốt nghiệp, sinh viên sẽ tiến hành nghiên cứu và xây dựng phần mềm trong các chuyên ngành gồm kỹ thuật phần mềm, lập trình nhúng hoặc lập trình game dưới sự hướng dẫn của giảng viên. Cuối cùng, sinh viên cần bảo vệ thành công khóa luận trước hội đồng chấm thi. Trong khi đó, với lựa chọn 3 học phần chuyên đề, sinh viên sẽ học và thi 3 học phần do khoa quy định."
32,"Môn Trực quan hóa thông tin (có mã môn CS528) cung cấp nền tảng kiến thức và ứng dụng về trực quan hóa dữ liệu. Nội dung chính bao gồm: mã hóa trực quan, trừu tượng hóa dữ liệu và nhiệm vụ, biểu diễn trực quan, giảm chiều, dữ liệu bảng và biểu diễn dạng cây và đồ thị."
33,"Môn học có mã NT210 này mang tên Thương mại điện tử và ứng dụng triển khai. Nội dung chính của môn học gồm các mảng sau: Hoạt động thương mại và thương mại điện tử. Các mô hình thương mại điện tử. Tiếp thị điện tử (E-Marketing), thương mại điện tử di động (M-commerce). Công nghệ xây dựng trang web, bao gồm cả web động, web tĩnh, PHP và MySQL. Các rủi ro về bảo mật trong thương mại điện tử. Bảo mật thông tin, xác thực số và chữ ký điện tử. Giao dịch điện tử trong thương mại điện tử. Quản trị doanh nghiệp trong thương mại điện tử. Quản lý nguồn lực doanh nghiệp (ERP), quản lý quan hệ khách hàng (CRM), quản lý chuỗi cung ứng (SCM). Sinh viên sẽ được thực hành triển khai phần mềm thương mại điện tử mã nguồn mở EcShop và phần mềm quản lý quan hệ khách hàng Vtiger CRM."
34,"Môn Điện toán đám mây được mã hóa là MSIS402, giới thiệu các khái niệm nền tảng về điện toán đám mây, bao gồm định nghĩa, mô hình triển khai và cung cấp dịch vụ. Nó cũng phân tích đặc điểm của các dịch vụ đám mây, tìm hiểu về ảo hóa và những thách thức liên quan. Nguyên lý ảo hóa và xử lý phân tán được minh họa qua một công nghệ nền tảng đám mây cụ thể. Môn học cung cấp hướng dẫn về việc lựa chọn mô hình dịch vụ phù hợp với nhu cầu của tổ chức và doanh nghiệp. Ngoài ra, sinh viên còn được trang bị kỹ năng cài đặt một số thuật toán xử lý phân tán đơn giản trên một trong các nền tảng đám mây hiện có."
35,"Môn học Giao tiếp người máy được lựa chọn với mã là SE215. Tóm lược lại nội dung chính của môn học như sau: Nó cung cấp cho sinh viên các kiến thức nền tảng, những nguyên tắc thiết kế xây dựng tương tác, phương pháp xây dựng nguyên mẫu, đánh giá chất lượng giao diện, nguyên tắc thiết kế cho quá trình nhận thức. Chương đầu tiên giới thiệu một số kiến thức bao quát. Chương tiếp theo phân tích vai trò và cách thức tương tác. Chương thứ ba giới thiệu một vài quy trình. Chương thứ tư trình bày cách thiết kế đề cao vai trò của người dùng. Chương thứ năm cung cấp các mẫu thiết kế."
36,"Môn học Thiết kế 3D Game Engine, hay còn gọi là SE329, tập trung vào việc giải thích cấu trúc của 3D Game Engine và các thuật toán đồ họa 3D. Nhờ đó, sinh viên sẽ nắm được cách tự thiết kế và xây dựng một 3D Engine để phục vụ cho các trò chơi 3D phức tạp. Nội dung được truyền tải thông qua sự kết hợp của các bài giảng, thuyết trình, bài tập thực hành, nghiên cứu tài liệu và báo cáo dự án cuối khóa. Môn học được chia thành ba phần: giới thiệu về kiến trúc của 3D Game Engine, giới thiệu về các thuật toán đồ họa 3D và hướng dẫn thiết kế và xây dựng 3D Game Engine."
37,"Môn học có tên là CS412 là môn học về Web ngữ nghĩa. Tóm tắt nội dung môn học như sau: Web ngữ nghĩa là một vấn đề trong lĩnh vực xử lý ngôn ngữ tự nhiên và là một chuyên ngành trong lĩnh vực ứng dụng trí tuệ nhân tạo. Web ngữ nghĩa chuyên về việc xây dựng các hệ thống web có tri thức cao trên nền tảng các hệ cơ sở tri thức (ontology) và dữ liệu có cấu trúc, dữ liệu liên kết (linked data), ngôn ngữ truy vấn cơ sở dữ liệu liên kết."
38,"Môn học có tên gọi là CS338 và nó thuộc lĩnh vực Nhận dạng. Nội dung của môn học này bao gồm kiến thức cơ bản về các thuật toán nhận dạng có tham số và phi tham số như SVM, Mạng Neural Network, Mô Hình Markov Ẩn, Maximum Likelihood, K-Nearest Neighbor, K-Mean. Sinh viên có thể áp dụng các thuật toán này vào bài toán nhận dạng với dữ liệu đặc trưng được rút trích từ các dữ liệu thực tế."
39,"Môn học Xử lý song song được mã hóa là SE351. Tóm tắt nội dung như sau: Khóa học cung cấp cho sinh viên kiến thức cơ bản về thiết kế thuật toán song song hiệu quả như thiết kế thuật toán song song, phân tích hiệu suất của chương trình song song, lập trình đa luồng bằng POSIX, lập trình bằng OpenMP và ứng dụng các kỹ thuật lập trình song song để giải quyết bài toán khoa học."
40,"### Đoạn văn đã diễn giải:

Môn học Hệ điều hành Linux, với mã môn là NT103, mang đến cho sinh viên những hiểu biết cơ bản về hệ điều hành Linux. Nội dung môn học bao gồm cách thức cài đặt, giao diện sử dụng và quy trình thao tác cơ bản với Linux; cấu trúc hệ thống tệp, hệ thống tài khoản và các kỹ thuật quản lý chúng; quản trị hệ thống tập trung vào quản lý tiến trình, quản lý đĩa, biến môi trường...; script shell và cách viết một script; cấu hình các dịch vụ trên Linux."
41,"Môn Pháp luật đại cương có mã số SS006, được xếp vào nhóm kiến thức nền tảng của chương trình đào tạo. Môn học nhằm cung cấp kiến thức cơ bản về nhà nước và hệ thống pháp luật cho sinh viên, giúp họ hiểu rõ bản chất, vai trò của nhà nước và pháp luật trong đời sống xã hội. Từ đó, sinh viên sẽ hình thành nhận thức đúng đắn về quyền, nghĩa vụ của công dân, sống theo chuẩn mực đạo đức và tuân thủ luật pháp."
42,"Môn Công nghệ phần mềm chuyên sâu được mã hóa là SE214, tập trung truyền đạt kiến thức chuyên sâu về các phương pháp, quy trình phát triển phần mềm mới và tân tiến như RUP, Agile, XP, Scrum. Sinh viên sẽ được trang bị nền tảng vững chắc về đặc tả và công nghệ yêu cầu, cũng như làm quen với các kiến thức về quản lý và triển khai dự án phần mềm. Thông qua môn học này, sinh viên có thể nắm vững và vận dụng thành thạo các quy trình tiên tiến trong lĩnh vực công nghệ phần mềm, đồng thời có đủ năng lực thiết lập, quản lý và triển khai một dự án phần mềm một cách chuyên nghiệp."
43,"Môn học có mã MKTG5883 với tên gọi Khai phá dữ liệu và ứng dụng, truyền tải kiến thức về khai thác tri thức ẩn trong ứng dụng CSDL. Nội dung môn học bao gồm: quy trình khai thác tri thức, các bài toán tập phổ biến và luật kết hợp, bài toán chuỗi tuần tự, bài toán phân lớp, bài toán gom cụm. Bên cạnh đó, môn học còn giới thiệu các ứng dụng thực tế của khai thác dữ liệu."
44,"Môn học CE409 là môn Kỹ thuật thiết kế kiểm tra. Nội dung môn học tóm tắt như sau: Môn học này giúp sinh viên hiểu về quy trình thiết kế và phát triển vi mạch số từ ý tưởng đến thiết kế, hiện thực và kiểm thử trên FPGA, trên SoC theo hướng ASIC. Sinh viên sẽ nắm được kiến thức và kỹ năng về các module ngoại vi, bộ xử lý, thiết kế mạch kiểm tra tích hợp bằng ngôn ngữ phần cứng hoặc ngôn ngữ cấp cao (C/C++) để kiểm tra hoạt động của vi mạch ngoại vi, vi mạch xử lý. Họ cũng sẽ có kỹ năng phân tích, đánh giá và kiểm tra mẫu thiết kế trên chip FPGA, cũng như phân tích và đánh giá các chức năng của các vi mạch thiết kế dựa trên kết quả mô phỏng."
45,"Môn học CS332 trong lĩnh vực Thị giác Máy tính tập trung vào việc giới thiệu các giải pháp kỹ thuật để áp dụng phương pháp máy học vào các bài toán quan trọng trong ngành Thị giác máy tính, bao gồm: phát hiện đối tượng (phát hiện khuôn mặt, phát hiện người đi bộ), nhận dạng (phân loại đối tượng, nhận dạng chi tiết), phân tích ngữ nghĩa và chỉ mục hóa."
46,"Cử nhân ngành Trí tuệ Nhân tạo (Áp dụng từ khóa 18 - 2023) Tên ngành đào tạo: Tiếng Việt: Trí tuệ nhân tạo. Tiếng Anh: Artificial Intelligence. Mã ngành đào tạo: 7480107. Trình độ đào tạo: Đại học. Loại hình đào tạo: Chính quy tập trung. Thời gian đào tạo: 3.5 năm (gồm 7 học kỳ chính thức). Số tín chỉ đào tạo: Tối thiểu 128 tín chỉ (bao gồm cả ngoại ngữ). Tên văn bằng sau khi tốt nghiệp: Tiếng Việt: Cử nhân Trí tuệ nhân tạo. Tiếng Anh: Bachelor of Science in Artificial Intelligence⠀- Nơi đào tạo: Trường Đại học Công nghệ Thông tin, ĐHQG-HCM"
47,"Môn học CE206, còn được gọi là Đồ án 2, tập trung vào việc cung cấp kỹ năng thiết kế hệ thống mạch điện-điện tử và vi mạch tiếp theo so với môn Đồ án 1. Ngoài ra, môn học cũng giúp sinh viên phát triển kỹ năng thiết kế phần mềm nhúng và phần mềm cho vi mạch mà sinh viên tự thiết kế."
48,"Môn Dữ liệu lớn (mã môn MSIS405) tổng quan về: dữ liệu lớn và giải quyết các thách thức của dữ liệu lớn (phân tích, xử lý). Các kỹ thuật R statistics, Hadoop và Map reduce được giới thiệu để trực quan hóa, phân tích dữ liệu lớn và xây dựng mô hình thống kê."
49,"Môn Mạng máy tính (CS4283) trang bị kiến thức về các mạng máy tính, hệ thống phân phối và thiết kế của chúng. Nội dung bao gồm tìm hiểu về cách thức sử dụng, cấu trúc và kiến trúc mạng. Các thí nghiệm thực hành mô phỏng cấu trúc mạng giúp củng cố lý thuyết."
50,"Môn Hệ thống tìm kiếm, phát hiện và ngăn ngừa xâm nhập (mã NT204) cung cấp tổng quan toàn diện về các hệ thống này. Nội dung bao gồm: các phương pháp ngăn chặn tấn công, vá lỗ hổng, hệ thống cảnh báo tấn công và thu thập thông tin về hoạt động tấn công mạng, cách thu thập bằng chứng pháp lý và lập báo cáo đầy đủ. Ngoài ra, môn học cũng đề cập đến các tính năng bảo mật của IDS, chẳng hạn như tin nhắn được mã hóa và đường hầm VPN, cũng như cách hạn chế các hành vi xâm nhập trái phép."
51,"Môn học CS337 là môn học về Xử lý âm thanh và tiếng nói. Nội dung môn học tập trung vào kiến thức cơ bản về xử lý tín hiệu số, đặc biệt là tín hiệu âm thanh và tiếng nói. Các chủ đề trong môn học bao gồm: mô hình hóa âm thanh, dự đoán tuyến tính, xử lý homomorphic, phân tích thời gian-tần số, thính giác, nhận dạng và tổng hợp giọng nói cơ bản."
52,"Môn Quản trị chuỗi cung ứng (mã môn MKTG4223) trình bày kiến thức toàn diện về quản trị Logistics, nền tảng của quản trị chuỗi cung ứng. Trong đó, hệ thống ERP đóng vai trò hỗ trợ các hoạt động lập kế hoạch, tổ chức, thực hiện và kiểm tra chuỗi cung ứng hiệu quả trong các tổ chức doanh nghiệp hiện đại."
53,"Cử nhân ngành Thương mại điện tử (Áp dụng từ Khoá 18 - 2023) Đào tạo nguồn nhân lực có kiến thức và kỹ năng chuyên sâu về Thương mại điện tử nhằm giải quyết các bài toán về kinh doanh - quản lý hiện nay, nghiên cứu và chuyển giao công nghệ tiên tiến trong CNTT vào thương mại điện tử, đặc biệt là hướng vào các ứng dụng nhằm góp phần đẩy mạnh sự nghiệp công nghiệp hóa, hiện đại hóa đất nước."
54,"Môn học NT207 với tên gọi Quản lý rủi ro và an toàn thông tin doanh nghiệp cung cấp kiến thức cơ bản về các loại rủi ro mà công ty có thể phải đối mặt cùng các biện pháp hiệu quả để phòng ngừa và giảm thiểu những mối đe dọa này. Nội dung môn học cũng bao gồm vai trò quan trọng của an ninh thông tin trong các tổ chức chính phủ, doanh nghiệp thương mại và công nghiệp, giúp sinh viên hiểu rõ cách xây dựng một chương trình quản lý rủi ro hiệu quả, cũng như đánh giá hiệu quả của các biện pháp bảo mật thông tin trong việc ngăn chặn những rủi ro liên quan."
55,"Cử nhân khoa học ngành Khoa học Dữ liệu (Áp dụng từ khóa 18 - 2023) Mục tiêu chung Đào tạo cử nhân ngành Khoa học dữ liệu có đủ kiến thức vững chắc, năng lực chuyên môn, có phẩm chất chính trị, đạo đức, có khả năng tự học, tự nghiên cứu để làm việc hiệu quả trong lĩnh vực công nghệ thông tin nói chung và khoa học dữ liệu nói riêng nhằm đáp ứng nhu cầu phát triển của xã hội trong thời đại cách mạng công nghiệp 4.0."
56,"Với mã số lớp học NT137, Kỹ thuật phân tích mã độc là một môn học cung cấp kiến thức cơ bản về lĩnh vực 分析 phần mềm độc hại. Trong bối cảnh ngày càng gia tăng của các loại mã độc, việc trang bị các kỹ năng phân tích và tìm hiểu cơ chế hoạt động của chúng vô cùng quan trọng. Môn học này sẽ cung cấp cho sinh viên những kiến thức và kỹ thuật mới nhất về phân tích mã độc, bao gồm cả hai phương pháp chính là phân tích tĩnh và phân tích động."
57,"Môn học có mã JAN03 có tên là Tiếng Nhật 3. Môn học này cung cấp kiến thức tiếng Nhật ở cấp Sơ cấp 3 (tương đương đầu trình độ N4) cho người học, trang bị kỹ năng nghe, nói, đọc, viết tương ứng ở mức độ tương đương. Môn học đặc biệt hướng đến mục tiêu nâng cao khả năng giao tiếp của người học."
58,Môn học có tên là CS321 và nó thuộc lĩnh vực Ngôn ngữ học ngữ liệu. Môn học này tập trung vào việc nghiên cứu và xử lý ngôn ngữ tự nhiên trên máy tính bằng cách sử dụng dữ liệu ngôn ngữ được lưu trữ trên máy tính. Mục tiêu của môn học là giới thiệu các khía cạnh nghiên cứu về ngữ liệu để phục vụ cho các bài toán trong xử lý ngôn ngữ tự nhiên và các lĩnh vực liên quan như nghiên cứu ngôn ngữ và giảng dạy ngoại ngữ.
